startId:START_ID,endId:END_ID,type:TYPE,indicator
4877,833,Constraint,in
3657,833,Constraint,of
833,1156,Action,can display
1156,4844,Sequential,
4844,6731,Conjunctive,and
5121,4866,Action,can see
4093,7214,Constraint,as
4093,7214,Action,are arranged
7214,244,Constraint,in
5121,7199,Action,can create
7199,4368,Constraint,by
7199,4368,Action,selecting
1855,177,Constraint,to
1855,6213,Attribute,enables
1855,177,Action,use
177,241,Constraint,to
177,241,Action,display
241,5551,Constraint,from
241,5551,Conjunctive,and
241,5551,Action,jump
5551,5084,Constraint,to
5551,5084,Constraint,via
7083,2567,Attribute,is
4231,241,Constraint,of
241,194,Constraint,by
241,194,Action,can be classified
194,6841,Sequential,
6841,553,Sequential,
553,4681,Sequential,
4681,6259,Conjunctive,and
194,2493,Constraint,by
194,2493,Action,can be further classified
2493,5267,Conjunctive,and
7406,194,Sequential,
194,2493,Sequential,
2493,5267,Sequential,
5267,3073,Constraint,in
5267,3073,Action,shown
3225,4362,Sequential,
553,7049,Constraint,in
7049,2040,Action,contains
2040,241,Constraint,of
241,553,Constraint,on
553,655,Sequential,
7049,5197,Action,can provide
5197,3012,Conjunctive,and
3012,3225,Constraint,between
6521,7471,Constraint,for
6521,7471,Action,can not directly provide
7471,4243,Conjunctive,and
4243,5745,Constraint,on
3225,5121,Sequential,
5121,885,Action,can obtain
885,553,Constraint,on
553,5121,Sequential,
5121,655,Constraint,to
5121,655,Action,do not need
5121,655,Action,input
655,6352,Sequential,
6352,655,Conjunctive,nor
6352,4589,Attribute,jump
6352,4589,Attribute,be
3225,3263,Action,includes
3263,3270,Constraint,on
1823,1703,Constraint,into
1823,1703,Action,can be divided
1703,658,Constraint,for
658,2209,Sequential,
2209,2184,Sequential,
2184,7866,Conjunctive,and
7866,4827,Sequential,
5482,1853,Action,when specifying
1853,5121,Conjunctive,and
1853,5121,Action,can re-fine
5121,3819,Sequential,
3819,1853,Action,when retrieving
7461,6548,Action,provides
6548,344,Constraint,to
6548,344,Conjunctive,and
6548,344,Action,store
6548,344,Action,express
4757,2867,Action,sup-ports
2867,4059,Constraint,of
4059,2067,Constraint,from
2067,4425,Sequential,
4425,903,Sequential,
903,2590,Constraint,to
6108,5938,Action,provide
